Motion Through Fluids Experiment Tue, Jan 13, 2026 10:43 AM
Time(sec)	Position(mm)
0.008	40.345
0.058	41.590
0.108	42.627
0.208	45.111
0.258	46.351
0.408	50.063
0.508	52.530
0.558	53.764
0.708	56.841
0.758	58.069
0.908	61.745
1.008	63.990
1.058	65.212
2.158	88.245
2.258	90.050
2.358	91.655
3.458	107.222
3.508	108.017
4.608	121.310
4.708	122.497
4.808	123.684
5.908	136.914
6.008	138.097
6.108	139.279
7.208	152.273
7.258	152.667
7.358	153.847
8.458	166.628
8.558	167.807
9.608	179.998
9.708	181.179
9.808	182.359
10.908	194.962
10.958	195.553
11.058	196.736
12.158	209.177
12.258	210.364
13.358	222.853
13.508	224.642
13.558	225.238
14.658	237.600
14.758	238.800
14.858	239.800
15.958	252.450
16.058	253.458
16.108	254.063
17.208	266.413
17.308	267.430
18.408	279.893
18.508	280.920
18.608	282.154
19.708	0.000
19.808	0.000
19.858	0.000
20.958	0.000
21.058	0.000
22.158	0.000
22.208	0.000
22.308	0.000
23.408	0.000
23.508	0.000
23.558	0.000
24.708	0.000
24.808	0.000
24.858	0.000
25.958	0.000
26.058	0.000
27.158	0.000
27.258	0.000
27.358	0.000
28.408	0.000
28.508	0.000
28.608	0.000
29.708	0.000
29.858	0.000
30.958	0.000
31.008	0.000
31.108	0.000
32.208	0.000
32.308	0.000
32.408	0.000
33.508	0.000
33.558	0.000
33.658	0.000
34.758	0.000
34.858	0.000
38.558	0.000
38.658	0.000
38.758	0.000
38.858	0.000
38.958	0.000
39.058	0.000
40.158	0.000
40.208	0.000
41.308	0.000
41.408	0.000
41.508	0.000
42.558	0.000
42.658	0.000
42.758	0.000
45.458	0.000
45.558	0.000
45.708	0.000
45.808	0.000
45.908	0.000
47.008	0.000
47.108	0.000
47.158	0.000
48.258	0.000
48.358	0.000
48.458	0.000
49.508	0.000
49.608	0.000
50.708	0.000
50.808	0.000
50.908	0.000
52.008	0.000
52.108	0.000
52.208	0.000
53.308	0.000
