Motion Through Fluids Experiment Tue, Jan 13, 2026 10:54 AM
Time(sec)	Position(mm)
0.040	33.041
0.090	33.459
0.140	34.088
0.240	35.338
0.390	37.214
0.440	37.630
0.540	38.879
0.640	40.126
0.740	41.371
0.840	42.408
0.940	43.651
1.040	44.893
1.140	45.928
2.240	58.467
2.290	58.878
3.440	71.296
3.540	72.309
3.590	72.714
4.690	83.212
4.790	84.218
4.890	85.021
8.590	109.203
8.690	109.600
12.390	130.197
12.490	130.790
12.590	131.184
12.740	132.171
12.840	132.566
12.940	133.158
14.040	139.271
14.140	139.665
14.290	140.651
15.390	146.559
15.490	147.149
16.590	153.053
16.690	153.643
16.741	153.840
17.890	160.133
17.940	160.526
18.040	161.116
19.140	167.014
19.190	167.407
20.340	173.502
20.440	174.092
20.540	174.485
21.640	180.582
21.740	180.975
21.790	181.369
22.890	187.273
22.990	187.864
23.090	188.258
26.790	207.985
26.890	208.578
27.040	209.369
27.140	209.765
27.240	210.358
28.340	216.299
28.440	216.696
28.490	217.092
29.590	222.848
29.690	223.246
30.790	229.214
30.890	229.612
30.990	230.210
32.090	235.996
32.190	236.596
32.240	236.796
33.340	242.600
33.490	243.401
33.590	243.802
34.690	249.627
34.790	250.231
38.490	269.462
38.540	269.869
38.640	270.277
38.790	271.092
38.840	271.296
38.940	271.908
40.090	277.839
40.190	278.249
41.290	284.002
41.340	284.208
41.440	284.827
42.540	290.404
42.640	291.025
42.790	0.000
43.890	0.000
43.940	0.000
44.090	0.000
47.790	0.000
47.840	0.000
47.990	0.000
48.090	0.000
48.140	0.000
49.240	0.000
49.340	0.000
49.440	0.000
50.540	0.000
50.640	0.000
51.740	0.000
51.840	0.000
51.890	0.000
53.040	0.000
53.140	0.000
53.240	0.000
54.340	0.000
54.440	0.000
54.540	0.000
55.640	0.000
55.690	0.000
56.790	0.000
56.890	0.000
56.990	0.000
58.090	0.000
58.140	0.000
58.240	0.000
59.340	0.000
59.490	0.000
60.590	0.000
60.640	0.000
