Motion Through Fluids Experiment Tue, Jan 20, 2026 11:01 AM
Time(sec)	Position(mm)
0.023	10.006
0.073	15.094
0.123	11.509
0.173	12.574
0.323	17.683
0.423	45.306
1.473	140.525
1.573	149.978
1.673	159.421
2.773	262.470
2.873	272.034
2.923	276.737
4.023	0.000
4.173	0.000
4.273	0.000
5.373	0.000
5.473	0.000
6.573	0.000
6.623	0.000
6.723	0.000
7.823	0.000
7.923	0.000
7.973	0.000
9.073	0.000
9.173	0.000
10.273	0.000
10.373	0.000
10.523	0.000
11.673	0.000
11.723	0.000
11.823	0.000
12.923	0.000
13.023	0.000
13.123	0.000
14.223	0.000
14.323	0.000
15.423	0.000
15.473	0.000
15.573	0.000
16.673	0.000
16.823	0.000
16.923	0.000
18.023	0.000
18.123	0.000
19.223	0.000
19.323	0.000
19.423	0.000
20.523	0.000
20.573	0.000
20.673	0.000
21.773	0.000
21.873	0.000
21.973	0.000
23.073	0.000
23.173	0.000
24.273	0.000
24.373	0.000
24.473	0.000
25.573	0.000
25.623	0.000
25.723	0.000
26.823	0.000
26.923	0.000
28.073	0.000
28.173	0.000
28.273	0.000
29.373	0.000
29.473	0.000
29.573	0.000
30.673	0.000
30.723	0.000
30.823	0.000
31.923	0.000
32.023	0.000
33.123	0.000
33.223	0.000
33.273	0.000
34.373	0.000
34.473	0.000
34.623	0.000
35.673	0.000
35.773	0.000
36.873	0.000
36.973	0.000
37.073	0.000
38.173	0.000
38.223	0.000
38.323	0.000
39.423	0.000
39.523	0.000
39.573	0.000
40.723	0.000
40.823	0.000
41.923	0.000
42.023	0.000
42.123	0.000
43.223	0.000
43.323	0.000
43.423	0.000
44.523	0.000
44.623	0.000
45.723	0.000
45.823	0.000
45.923	0.000
47.023	0.000
47.123	0.000
47.223	0.000
48.323	0.000
48.423	0.000
48.473	0.000
49.573	0.000
49.723	0.000
50.823	0.000
50.873	0.000
50.973	0.000
52.123	0.000
52.223	0.000
52.273	0.000
53.373	0.000
53.473	0.000
